OBJECTID,SYSTEM,MONTHDAY_INSTALLED,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,Shape__Area,Shape__Length
421,GSWI,5_10,2013,ACT,PWD,6,,89fed79c-4ccf-41e5-841d-969999f52367,,361.2890625,217.96189124378
422,GSWI,9_9,2013,ACT,PWD,6,,888c59c6-3d14-43fb-9cd4-c826898c85f0,,266.91796875,153.25397246784
423,GSWI,8_1,2014,ACT,PWD,6,,0fe869ba-a1bd-4f39-b9c3-fe0604405d3d,,237.375,147.86713832431
424,GSWI,8_1,2014,ACT,PWD,6,,c9affabd-176c-4f11-9e26-cc2ab6aa010b,,202.78515625,133.965082501019
425,GSWI,8_1,2014,ACT,PWD,6,,37866265-c2f2-4202-aeec-1aa42e5ab23a,,142.59375,124.400381629455
426,GSWI,8_1,2014,ACT,PWD,6,,add018ea-bfbc-45af-b2c5-d62df59136a7,,174.90625,116.417742527475
427,GSWI,8_1,2014,ACT,PWD,6,,a9acf486-ecfc-450f-8b8b-4b1197fc6860,,202.77734375,133.96261746869
428,GSWI,8_1,2014,ACT,PWD,6,,4c5e4871-8ee9-4cb6-9ab3-f3b7896da2e0,,263.796875,154.704391140344
429,GSWI,1_13,2014,ACT,PWD,6,,58e1a559-0ffc-4574-be00-d495da02b4b5,,158.16796875,87.506990542395
430,GSWI,1_13,2014,ACT,PWD,6,,8b35d129-c875-4352-a6b3-cd54233cff4f,,130.64453125,99.4099927857183
431,GSWI,9_20,2013,ACT,PWD,6,,ca28a3fe-6abd-4e8b-b981-aeb84416fa1a,,113.26171875,92.7737777246864
432,GSWI,9_20,2013,ACT,PWD,6,,0495e88b-2d0a-4fdb-beef-b1615171632b,,52.26171875,48.5005746221483
433,GSWI,4_25,2014,ACT,PWD,6,,81c5807f-bb7f-4b25-8f52-83a8be977c6a,,125.1171875,54.2000694259177
434,GSWI,4_25,2014,ACT,PWD,6,,26b4918e-2cc5-48a6-b4ec-9de2d0bddcc6,,980.99609375,308.543176486636
435,GSWI,4_25,2014,ACT,PWD,6,,99ac9c5c-5046-479f-be71-cfa6e1f5da0e,,177.25,75.2133076934406
436,GSWI,5_16,2013,ACT,PWD,6,,0558ca4c-ed3d-4967-9ea6-d54ec7fa1741,,158.15625,87.6264905611661
437,GSWI,11_10,2010,ACT,PWD,6,,e068813a-8af4-4640-97f0-04000037c237,,216.43359375,97.1266949125974
438,GSWI,11_5,2011,ACT,PWD,6,,d1b00588-81ec-47ab-93b1-e2cbd77bca81,,184.640625,105.208651147326
439,GSWI,11_10,2010,ACT,PWD,6,,c0a4f85d-f4ea-4d46-ae92-ca2ec2a50ab1,,118.55859375,61.8852617589074
440,GSWI,11_5,2011,ACT,PWD,6,,15b49917-e4aa-4d67-b206-8225f31b2da0,,178.62890625,100.877401235618
441,GSWI,11_5,2011,ACT,PWD,6,,0be0c9b2-062e-41ec-9a6d-c8baba11d611,,257.9140625,99.6023751946163
442,GSWI,11_10,2010,ACT,PWD,6,,95a6be49-cabd-40e2-8d29-e07805bed508,,62.1875,41.6898313790134
443,GSWI,5_14,2011,ACT,PWD,6,,de01b63a-1d52-4899-b15d-5b8714d8bd08,,201.46484375,212.913783598475
444,GSWI,11_10,2010,ACT,PWD,6,,31a13b4c-9235-4a80-a987-22e6456b0168,,61.625,39.653735521144
445,GSWI,5_14,2011,ACT,PWD,6,,1fb57b57-2b05-4d83-8192-6cbc4a4422ab,,170.5859375,245.456995534545
446,GSWI,11_1,2010,ACT,PWD,6,,1fcf3d53-28bd-4bac-83d6-81a8f40c1686,,548.3359375,283.885862800196
447,GSWI,5_16,2013,ACT,PWD,6,,c9c43591-fc66-4d9d-86a8-d4d716290931,,169.859375,80.6157930710023
448,GSWI,11_4,2011,ACT,PWD,6,,d2e802c9-a757-48d2-82f1-3953373c64dd,,177.26171875,95.5548114857408
449,GSWI,11_4,2011,ACT,PWD,6,,0d78864f-791a-4777-b424-c02099a4c2cf,,194.1171875,89.2264836082846
450,GSWI,11_5,2011,ACT,PWD,6,,713b7874-7816-4fc8-b4fe-4d260fbfe5c9,,188.484375,111.82940456368
451,GSWI,11_5,2011,ACT,PWD,6,,16708e37-756f-4164-b501-a0ea4d338563,,227,108.930385217683
452,GSWI,11_5,2011,ACT,PWD,6,,f981cba3-4fa4-46b9-9cee-71c748bb48ef,,276.3984375,151.145934162137
453,GSWI,1_13,2014,ACT,PWD,6,,2b4e754f-2746-4942-86c8-47570cb527d6,,215.64453125,183.241720380671
454,GSWI,5_16,2013,ACT,PWD,6,,d6243968-2234-4bdb-aed6-2c9a9a25cb51,,291.5,140.342056417011
455,GSWI,7_15,2016,ACT,PWD,6,,8ab8be65-a9c8-4039-ad91-2a1b7bb4deac,,119.58984375,82.1060159976703
456,GSWI,7_15,2016,ACT,PWD,6,,1471b7fd-3cfe-466f-a298-f229780c17ea,,125.83203125,142.819745723814
457,GSWI,12_13,2012,ACT,PWD,6,,d0035654-6733-406b-8a81-b5df0f0f04f1,,240.1328125,118.417034820683
458,GSWI,1_1,9999,ACT,PWD,6,,e7fb87ec-94eb-4904-812f-b5d92467f439,,103.515625,90.9770542213205
459,GSWI,1_1,9999,ACT,PWD,6,,8515432e-f35d-4923-9fcb-5745e66f42c6,,113.94140625,93.2043040654071
460,GSWI,9_1,2009,ACT,PWD,6,,d46a58b0-717d-43e2-be6e-293c528e9052,,91.91796875,44.7339408961048
461,GSWI,9_1,2009,ACT,PWD,6,,adb15901-8a4d-49c0-b6b9-e6c9977295b9,,284.2265625,139.443408505637
462,GSWI,11_2,2012,ACT,PWD,6,,886fdeae-36fd-4852-a5bf-6890626bb0b1,,89.75,78.0936264374653
463,GSWI,11_23,2012,ACT,PWD,6,,224d82aa-fb80-40dc-a1d9-4c9c95520123,,165.86328125,108.048245307901
464,GSWI,11_23,2012,ACT,PWD,6,,fdff603b-ba13-47c8-9ac5-5de04eccdbde,,78.8828125,64.293021939637
465,GSWI,11_23,2012,ACT,PWD,6,,0e6cf11c-e796-4658-940b-e8bfd6d56e72,,137.7890625,111.465121658171
